"ID","Bolum","Universite","Sehir","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"104","Tıp Fakültesi","GAZİANTEP ÜNİVERSİTESİ","Gaziantep","0.000","0.000","0.000","0.000","350.753","352.385","363.361","342.558","355.344","350.586","470.000","519.316"
"105","Tıp Fakültesi","GAZİOSMANPAfiA ÜNİVERSİTESİ (TOKAT)","Tokat","0.000","0.000","0.000","0.000","350.012","352.909","359.081","346.101","357.911","349.170","475.000","514.818"
"106","Tıp Fakültesi","HACETTEPE ÜNİVERSİTESİ (ANKARA)","Ankara","0.000","0.000","0.000","0.000","365.876","368.135","370.795","363.396","370.210","368.032","525.000","552.960"
"107","Tıp Fakültesi","HACETTEPE ÜNİVERSİTESİ (ANKARA)-İ","Ankara","0.000","0.000","0.000","0.000","366.651","370.275","373.070","365.822","371.574","370.286","540.000","556.723"
"108","Tıp Fakültesi","HARRAN ÜNİVERSİTESİ (fiANLIURFA)","Şanlıurfa","0.000","0.000","0.000","0.000","347.724","348.997","353.648","337.718","352.602","348.125","474.000","513.910"
"109","Tıp Fakültesi","İNÖNÜ ÜNİVERSİTESİ (MALATYA)","Malatya","0.000","0.000","0.000","0.000","349.877","351.261","355.775","339.717","353.728","348.840","470.000","517.256"
"110","Tıp Fakültesi","İSTANBUL BİLİM ÜNİVERSİTESİ","İstanbul","0.000","0.000","0.000","0.000","0.000","0.000","0.000","307.706","332.585","330.345","427.000","493.506"
"111","Tıp Fakültesi","İSTANBUL BİLİM ÜNİVERSİTESİ-B","İstanbul","0.000","0.000","0.000","0.000","0.000","0.000","0.000","346.063","358.344","357.033","492.000","534.548"
"112","Tıp Fakültesi","İSTANBUL  ÜNİVERSİTESİ  CERRAHPAŞA","İstanbul","0.000","209.187","211.741","0.000","357.635","359.836","364.242","353.436","362.902","360.686","507.000","541.674"
"113","Tıp Fakültesi","İSTANBUL  ÜNİVERSİTESİ CERRAHPAŞA-İ","İstanbul","0.000","0.000","0.000","0.000","364.702","367.601","369.973","361.615","369.076","367.765","539.000","554.877"
